index,State,public4Year_total,public4Year_tuitionFees,public4Year_room,public4Year_board,public4Year_outStateTotal,privateTotal,privatetuitionFees,privateRoom,privateBoard,public2YInState,public2YOutState
1,AL,19052.005,9466.105,5385.984,4199.916,23999.508,24709.536,15421.537,4676.622,4611.377,4362.02,9074.6
2,AK,17370.129,7210.342,5830.018,4329.769,21431.489,26131.55,18876.363,3622.961,3632.226,3820,3820
3,AZ,21490.559,10056.575,6696.872,4737.112,25061.481,22558.535,13139.738,5099.811,4318.986,2129.2,7931.35
4,AR,16871.207,7924.042,4958.633,3988.532,19322.961,29803.687,21709.817,4100.08,3993.79,3195.11,4582.08
5,CA,21355.599,7896.422,7531.504,5927.673,28253.183,44721.64,31495.075,7467.173,5759.392,1261.82,7120.07
7,CO,20942.738,9351.817,5672.166,5918.755,28986.059,34337.203,22626.722,6827.273,4883.208,3565.08,10152.45
8,CT,24173.612,11725.532,6714.581,5733.499,32835.689,53197.661,38975.012,8109.545,6113.104,4188.59,12527.93
9,DE,21698.361,9577.742,7258.792,4861.827,28497.097,25996.089,14383.363,5797.992,5814.734,†,†
10,DC,†,5612,†,†,11756,55669.204,40617.775,9649.42,5402.009,†,†
11,FL,14805.807,4434.706,5859.552,4511.549,18303.643,35875.926,24360.449,6473.471,5042.006,2551.91,9121.96
13,GA,17352.569,7009.689,6043.167,4299.713,21376.965,39117.666,27220.364,6618.04,5279.262,2895.08,7957.54
14,HI,21015.982,9712.465,5756.421,5547.096,30928.795,28392.907,15949.444,5444.454,6999.009,3080.19,8215.86
15,ID,14457.186,7005.235,3581.914,3870.037,21370.325,13009.634,5925.004,2733.115,4351.515,3227.24,7589.44
16,IL,24541.392,13636.006,5975.013,4930.373,28166.727,43381.76,31298.189,6986.298,5097.273,3748.63,10747.77
17,IN,19000.613,8876.382,5419.014,4705.217,28314.757,41847.422,30925.909,5684.343,5237.17,4175,8052
19,IA,17604.073,8361.35,5236.176,4006.547,24911.738,35780.462,26741.888,4390.675,4647.899,4790.51,6405.81
20,KS,17560.468,8488.796,4669.471,4402.201,21999.961,28745.763,20290.957,4046.4,4408.406,3222.31,4548.33
21,KY,19673.15,10014.159,5546.709,4112.282,23538.923,34893.454,25844.529,4622.896,4426.029,3961.58,13321.36
22,LA,18319.417,8813.44,5699.907,3806.07,22770.656,47558.506,35189.502,6797.569,5571.435,4031.05,6496.05
23,ME,19072.961,9219.065,4937.301,4916.595,26003.709,48107.236,35546.83,6290.445,6269.961,3673.12,6493.86
25,MD,20647.225,9082.945,6600.339,4963.941,22436.91,53774.882,40209.201,7767.452,5798.229,3982.81,9169.6
26,MA,24473.225,12330.958,7528.408,4613.859,28739.952,57362.757,42654.948,8448.17,6259.639,4784.72,9785.18
27,MI,21831.591,11889.638,4935.768,5006.185,36713.682,33498.1,24058.287,4543.218,4896.595,3422.52,6474.48
28,MN,19726.712,10883.163,4771.513,4072.036,19087.569,40938.845,30924.666,5236.773,4777.406,5309.59,6052.93
29,MS,16843.245,7471.509,5538.626,3833.11,19137.87,24697.686,16948.964,4035.751,3712.971,2830.47,5176.14
31,MO,17639.098,8176.4,5843.908,3618.79,18940.341,33433.186,23701.69,5510.696,4220.8,3028.49,5736.69
32,MT,15241.219,6502.937,4019.247,4719.035,22956.126,32375.368,23657.273,4139.361,4578.734,3381.32,8210.42
33,NE,17379.019,7732.093,5296.677,4350.249,19482.904,32199.896,23109.069,4750.827,4340,2991.41,3940.54
34,NV,17145.258,5520.288,5661.203,5963.767,20671.516,35053.31,21423.136,7295.424,6334.75,2910,9555
35,NH,26968.075,15491.46,6837.95,4638.665,27200.529,46532.952,33234.525,8302.185,4996.242,7001.64,15157.25
37,NJ,26070.044,13296.686,7855.96,4917.398,28051.217,48438.586,35223.836,7634.363,5580.387,4365.89,7691.5
38,NM,15528.242,6824.643,4428.915,4274.684,17271.571,32372.745,22535.096,5538.957,4298.692,1589.96,4749.44
39,NY,21750.33,7708.829,9099.131,4942.37,21453.636,51790.45,37580.361,8664.377,5545.712,5122.43,8857.03
40,NC,16635.023,7218.492,5408.864,4007.667,23777.653,42312.201,30701.204,5992.737,5618.26,2470.47,8481.12
41,ND,15387.768,7376.285,3205.469,4806.014,18288.05,20963.653,14289.563,2996.98,3677.11,4561.55,9484.49
43,OH,20960.782,9827.303,6306.313,4827.166,23433.915,40980.263,30295.748,5566.518,5117.997,3655.47,5720.56
44,OK,15754.498,7218.774,4578.74,3956.984,19174.447,33883.384,24775.853,4545.153,4562.378,3626.92,8581.58
45,OR,21323.633,9738.905,6828.181,4756.547,29329.911,48702.672,37088.213,6048.038,5566.421,4262.8,8410.3
46,PA,25331.495,14067.739,6544.893,4718.863,26327.727,52131.781,39185.117,7076.236,5870.428,5048.24,12833.17
47,RI,23134.991,11385.883,7352.346,4396.762,27815.116,52873.593,38855.344,8388.833,5629.416,4266,11496
49,SC,21508.294,12152.893,5744.967,3610.434,29888.293,33747.701,24523.095,4660.247,4564.359,4417.78,9729.82
50,SD,16054.4,8301.319,3723.946,4029.135,11845.225,30925.668,23147.121,3843.967,3934.58,5803.22,5659.65
51,TN,18340.305,9286.937,4856.17,4197.198,24802.079,35928.503,25984.598,5624.694,4319.211,4048.05,15540.32
52,TX,17799.057,8375.349,4930.81,4492.898,23511.118,41978.523,31008.702,6124.893,4844.928,2098.65,6100.43
0,US,19487.672,8804.074,6017.367,4666.231,24854.39,41467.869,29478.041,6716.865,5272.963,3156.39,7667.97
53,UT,13709.235,6333.57,3210.405,4165.26,19407.243,15211.745,7445.358,3901.264,3865.123,3690,11728
55,VT,26786.332,15537.442,7109.685,4139.205,37991.117,54002.771,41063.123,7108.253,5831.395,6222,12294
56,VA,22567.261,12125.664,5907.357,4534.24,32249.684,32616.215,22285.922,5511.007,4819.286,4962.26,11080.25
57,WA,18053.275,6903.181,5885.835,5264.259,28127.968,46746.186,35288.114,6111.19,5346.882,3847.83,6647.06
58,WV,17095.629,7241.115,5245.214,4609.3,20029.517,20897.733,12206.107,4249.811,4441.815,4008.96,9241.11
59,WI,16245.843,8418.543,4699.182,3128.118,22574.336,41503.241,31662.147,5655.475,4185.619,4292.12,6222.77
60,WY,14353.523,4311,4493,5549.523,13239,†,18021,†,†,2986.85,7292.42
